Grapheme	IPA	Example	Count	Unicode
^	NULL			
$	NULL			
u	NULL	phusuluq, miɑuʁdʐue	100	U+0075
u$	u	wu, tu	100	U+0075 U+0024
ə$	ə	lə, jə	100	U+0259 U+0024
i$	i	tɕi, ɕi	100	U+0069 U+0024
ɑ	ɑ	lɑw, ɦɑlɑ	100	U+0251
ɑ$	ɑ	lɑ, thɑ	100	U+0251 U+0024
ə	ə	tɕəu, phənjəu	100	U+0259
i	i	χaiʂəχuijələjitian, tɕiu	100	U+0069
e$	e	le, se	98	U+0065 U+0024
p	p	ɑpə, ʂpɑʂpɑ	71	U+0070
a	a	sawu, qutaq	61	U+0061
^l	l	lə, le	60	U+005e U+006c
n$	n	fən, hɑn	60	U+006e U+0024
^s	s	se, sɑ	57	U+005e U+0073
^k	k	ku, ka:	56	U+005e U+006b
t	t	stu, steke	56	U+0074
n	n	phinfanlɑ, tɑntɑ	56	U+006e
^ʂ	ʂ	ʂə, ʂe	55	U+005e U+0282
^j	j	jə, ji	52	U+005e U+006a
^q	q	qu, qə	52	U+005e U+0071
^tɕ	tɕ	tɕi, tɕiu	50	U+005e U+0074 U+0255
e	e	steke, pefutsə	49	U+0065
tɕ	tɕ	ɕtɕi, xʂuɕtɕu	46	U+0074 U+0255
^m	m	mə, mɑ	45	U+005e U+006d
^t	t	tu, tɑ	45	U+005e U+0074
a$	a	ha, ɦa	43	U+0061 U+0024
^p	p	pə, pɑ:	42	U+005e U+0070
l	l	ɦɑlɑ, ʔile	39	U+006c
^ʐ	ʐ	ʐə, ʐmə	37	U+005e U+0290
^χ	χ	χaiʂə, χuɑ	34	U+005e U+03c7
q	q	tʂhəqtʂhɑqtʂhəqtʂhɑq, ts̥əqɑ	33	U+0071
^ts	ts	tsi, tsu	33	U+005e U+0074 U+0073
^ȵ	ȵ	ȵi, ȵi:	32	U+005e U+0235
o	o	khuoji, kou	32	U+006f
^ʁ	ʁ	ʁɑ, ʁu	31	U+005e U+0281
^w	w	wu, wɑ	30	U+005e U+0077
^ɕ	ɕ	ɕi, ɕtɕi	29	U+005e U+0255
q$	q	qutaq, məq	26	U+0071 U+0024
k	k	steke, ȵike	25	U+006b
tʂ	ʈʂ	mutsitʂu, qətʂi	24	U+0074 U+0282
^th	tʰ	thɑ, thə	24	U+005e U+0074 U+0068
^z	z	zə, zu	23	U+005e U+007a
m	m	ʐmə, ʐmu	23	U+006d
^h	h	hɑ, ha	23	U+005e U+0068
^ɦ	ɦ	ɦɑlɑ, ɦa	22	U+005e U+0266
z	z	ʁza, ʁza:	22	U+007a
ɑ:$	ɑː	kɑ:, lɑ:	21	U+0251 U+003a U+0024
^d	d	dzɑ, dzə	20	U+005e U+0064
^tʂ	ʈʂ	tʂi, tʂə	18	U+005e U+0074 U+0282
^g	g	gi, gueʴ	18	U+005e U+0067
̊	<?>	ʁů, otsůquɑ	17	U+030a
o$	o	tɕo, mo	17	U+006f U+0024
ts	ts	pefutsə, otsůquɑ	17	U+0074 U+0073
^ph	pʰ	phi, phə	17	U+005e U+0070 U+0068
ů$	<?>	ʁů, dʐuků	16	U+016f U+0024
s	s	suəsuɑ, qəstɑ	16	U+0073
w	w	sawu, ʐɑwɑ	15	U+0077
a:$	aː	ka:, ta:	15	U+0061 U+003a U+0024
p$	p	ʂp, təp	14	U+0070 U+0024
eʴ	eʴ	ɕtɕeʴpɕtɕeʴp, neʴwu	14	U+0065 U+02b4
