Grapheme	IPA	Example	Count	Unicode
$	NULL			
104$	NULL	ȵi104	1	U+0031 U+0030 U+0034 U+0024
105$	NULL	wɑ105	1	U+0031 U+0030 U+0035 U+0024
107$	NULL	tʂhe107	1	U+0031 U+0030 U+0037 U+0024
109$	NULL	juɑnʁuɑi109	1	U+0031 U+0030 U+0039 U+0024
110$	NULL	ȵi110	1	U+0031 U+0031 U+0030 U+0024
111$	NULL	wu111	1	U+0031 U+0031 U+0031 U+0024
112$	NULL	ʁɑ112	1	U+0031 U+0031 U+0032 U+0024
114$	NULL	lə114	1	U+0031 U+0031 U+0034 U+0024
115$	NULL	sɑ115	1	U+0031 U+0031 U+0035 U+0024
116$	NULL	s116	1	U+0031 U+0031 U+0036 U+0024
118$	NULL	tu118	1	U+0031 U+0031 U+0038 U+0024
120$	NULL	stumpətʂe120	1	U+0031 U+0032 U+0030 U+0024
121$	NULL	ŋuɑ121	1	U+0031 U+0032 U+0031 U+0024
122$	NULL	n122	1	U+0031 U+0032 U+0032 U+0024
123$	NULL	jy123	1	U+0031 U+0032 U+0033 U+0024
?$	NULL	ʑdʑi?, ɑ?	10	U+003f U+0024
^	NULL			
^a	a/ɑ	ataʐ, ataʐə	4	U+005e U+0061
^a!$	a/ɑ	a!	1	U+005e U+0061 U+0021 U+0024
^a$	a/ɑ	a	4	U+005e U+0061 U+0024
^a:$	aː/ɑː	a:	3	U+005e U+0061 U+003a U+0024
^b	b	bɑ, buzd	11	U+005e U+0062
^d	d	dzɑ, dzə	20	U+005e U+0064
^dʐ	ɖʐ	dʐə, dʐi	5	U+005e U+0064 U+0290
^dʑ	dʑ	dʑe, dʑiq	8	U+005e U+0064 U+0291
^e	e	entɕi, ep	5	U+005e U+0065
^e!$	e	e!	1	U+005e U+0065 U+0021 U+0024
^e$	e	e	2	U+005e U+0065 U+0024
^e:!$	eː	e:!	1	U+005e U+0065 U+003a U+0021 U+0024
^e:$	eː	e:	1	U+005e U+0065 U+003a U+0024
^f	f	fən, fu	6	U+005e U+0066
^g	g	gi, gul	18	U+005e U+0067
^g$	g	g	2	U+005e U+0067 U+0024
^g̥u̥	g w	g̥u̥ə	1	U+005e U+0067 U+0325
^h	h	hɑ, ha	23	U+005e U+0068
^i	i	ikə, ike	5	U+005e U+0069
^i$	i	i	6	U+005e U+0069 U+0024
^j	j	jə, ji	52	U+005e U+006a
^j$	j	j	2	U+005e U+006a U+0024
^k	k	ku, ke	56	U+005e U+006b
^k$	k	k	2	U+005e U+006b U+0024
